Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
1038;3499;-158;0;2722;1180;-330;1712;9663
1061;3525;-130;0;2810;1070;-294;1750;9793
1086;3659;-136;0;2949;1015;-379;1793;9987
1156;3817;-129;0;2971;902;-401;1775;10091
1233;3897;-98;0;2852;780;-361;1738;10041
1231;3934;-104;0;2979;802;-338;1816;10319
1327;4048;-128;0;3109;794;-401;1871;10620
1307;4159;-83;0;3009;837;-502;1741;10468
1257;4134;-72;0;3071;824;-569;1855;10499
1243;4336;-24;0;3338;817;-456;1799;11052
1198;4541;-39;0;3267;986;-481;1857;11329
1259;4305;-85;0;3398;1004;-327;1916;11471
1266;4541;-66;0;3327;1069;-353;1862;11646
1271;4658;-111;0;3312;1020;-448;1932;11634
1152;4415;-116;0;3213;1047;-302;1935;11344
919;4355;-122;0;3220;983;-346;1896;10906
967;4357;-92;0;3169;989;-326;1853;10918
872;4223;-133;0;3450;1021;-227;1957;11163
816;4594;-169;0;3504;1035;-513;1985;11251
806;4549;-187;0;3669;1128;-570;2084;11478
855;4681;-164;0;3713;1170;-557;2083;11781
774;4843;-214;0;3577;1111;-463;2091;11718
733;4499;-230;0;4336;1106;-353;2071;12162
754;4830;-224;0;4659;1105;-586;2126;12664
598;4770;-174;0;4889;1099;-433;2094;12844
580;4710;-169;0;4894;1104;-401;2077;12795
442;4441;-207;0;4702;1071;-499;2088;12039
55;209;0;0;27;0;-2;76;364
47;224;0;0;26;0;-5;77;370
50;215;0;0;22;0;-7;76;356
48;224;0;0;23;0;-23;81;353
38;180;0;0;25;0;-6;82;320
39;197;0;0;27;0;-10;86;338
41;200;0;0;28;0;-8;90;351
42;209;0;0;26;0;-10;96;363
46;225;0;0;30;0;-15;98;384
51;219;0;0;30;0;-6;103;397
51;212;0;0;30;0;5;105;403
34;157;0;0;31;0;37;110;370
42;170;0;0;33;0;17;121;382
55;172;0;0;33;0;15;128;402
52;171;0;0;34;0;11;133;401
55;186;0;0;31;0;8;140;419
54;195;0;0;30;0;6;147;433
75;218;0;0;40;0;6;150;490
99;257;0;0;60;0;-10;144;549
105;275;0;0;48;0;-4;163;587
83;281;0;0;40;0;4;192;600
